algo,metric,value
ML-DSA-87,sign-wall-std-ns,3230890.0
ML-DSA-87,sign-wall-p95-ns,11880407.0
ML-DSA-87,sign-wall-p99-ns,15841444.0
ML-DSA-87,sign-wall-ci95lo-ns,4964129.4
ML-DSA-87,sign-wall-ci95hi-ns,5247329.4
ML-DSA-87,sign-cyc-median,223506.0
ML-DSA-87,sign-cyc-mean,275701.3
ML-DSA-87,sign-persec,241.6
ML-DSA-87,verify-iters,2000
ML-DSA-87,verify-wall-median-ns,1223426.0
ML-DSA-87,verify-wall-mean-ns,1225957.0
ML-DSA-87,verify-wall-std-ns,5674.8
ML-DSA-87,verify-wall-p95-ns,1232463.0
ML-DSA-87,verify-wall-p99-ns,1236963.0
ML-DSA-87,verify-wall-ci95lo-ns,1225708.3
ML-DSA-87,verify-wall-ci95hi-ns,1226205.7
ML-DSA-87,verify-cyc-median,66058.0
ML-DSA-87,verify-cyc-mean,66194.0
ML-DSA-87,verify-persec,817.4
ML-DSA-87,size-key-bits,20736
ML-DSA-87,size-pubkey-bytes,2592
ML-DSA-87,size-privkey-bytes,4896
ML-DSA-87,size-signature-bytes,4627
rsa-7680,key-size,7680
rsa-7680,keygen-iters,3
rsa-7680,keygen-wall-median-ns,35800308812.0
rsa-7680,keygen-wall-mean-ns,35430638577.7
rsa-7680,keygen-wall-std-ns,3258205389.1
rsa-7680,keygen-wall-p95-ns,38488242403.0
rsa-7680,keygen-wall-p99-ns,38488242403.0
rsa-7680,keygen-wall-ci95lo-ns,31743632091.1
rsa-7680,keygen-wall-ci95hi-ns,39117645064.3
rsa-7680,keygen-cyc-median,1933216668.0
rsa-7680,keygen-cyc-mean,1913254469.0
rsa-7680,keygen-persec,0.0
rsa-7680,pss-sign-iters,100
rsa-7680,pss-sign-wall-median-ns,227681167.0
rsa-7680,pss-sign-wall-mean-ns,228213189.3
rsa-7680,pss-sign-wall-std-ns,2935430.7
rsa-7680,pss-sign-wall-p95-ns,227806963.0
rsa-7680,pss-sign-wall-p99-ns,244789537.0
rsa-7680,pss-sign-wall-ci95lo-ns,227637844.9
rsa-7680,pss-sign-wall-ci95hi-ns,228788533.7
rsa-7680,pss-sign-cyc-median,12294775.0
rsa-7680,pss-sign-cyc-mean,12323502.4
rsa-7680,pss-sign-persec,4.4
rsa-7680,pss-verify-iters,100
rsa-7680,pss-verify-wall-median-ns,1747611.0
rsa-7680,pss-verify-wall-mean-ns,1750189.3
rsa-7680,pss-verify-wall-std-ns,5113.0
rsa-7680,pss-verify-wall-p95-ns,1757555.0
rsa-7680,pss-verify-wall-p99-ns,1759963.0
rsa-7680,pss-verify-wall-ci95lo-ns,1749187.1
rsa-7680,pss-verify-wall-ci95hi-ns,1751191.4
rsa-7680,pss-verify-cyc-median,94365.0
rsa-7680,pss-verify-cyc-mean,94503.2
rsa-7680,pss-verify-persec,572.2
rsa-7680,oaep-encrypt-iters,100
rsa-7680,oaep-encrypt-wall-median-ns,1764926.0
rsa-7680,oaep-encrypt-wall-mean-ns,1766496.3
rsa-7680,oaep-encrypt-wall-std-ns,4533.5
rsa-7680,oaep-encrypt-wall-p95-ns,1773130.0
rsa-7680,oaep-encrypt-wall-p99-ns,1774278.0
rsa-7680,oaep-encrypt-wall-ci95lo-ns,1765607.7
rsa-7680,oaep-encrypt-wall-ci95hi-ns,1767384.9
rsa-7680,oaep-encrypt-cyc-median,95299.0
rsa-7680,oaep-encrypt-cyc-mean,95383.2
rsa-7680,oaep-encrypt-persec,566.6
rsa-7680,oaep-decrypt-iters,100
rsa-7680,oaep-decrypt-wall-median-ns,227855278.0
rsa-7680,oaep-decrypt-wall-mean-ns,228337142.6
rsa-7680,oaep-decrypt-wall-std-ns,2923709.4
rsa-7680,oaep-decrypt-wall-p95-ns,227980815.0
rsa-7680,oaep-decrypt-wall-p99-ns,244862185.0
rsa-7680,oaep-decrypt-wall-ci95lo-ns,227764095.6
rsa-7680,oaep-decrypt-wall-ci95hi-ns,228910189.6
rsa-7680,oaep-decrypt-cyc-median,12304177.0
rsa-7680,oaep-decrypt-cyc-mean,12330197.6
rsa-7680,oaep-decrypt-persec,4.4
rsa-7680,size-key-bits,7680
rsa-7680,size-signature-bytes,960
rsa-15360,key-size,15360
rsa-15360,keygen-iters,3
rsa-15360,keygen-wall-median-ns,455447719913.0
rsa-15360,keygen-wall-mean-ns,463125877007.7
rsa-15360,keygen-wall-std-ns,379866441849.6
rsa-15360,keygen-wall-p95-ns,846773194106.0
rsa-15360,keygen-wall-p99-ns,846773194106.0
rsa-15360,keygen-wall-ci95lo-ns,33266531790.0
rsa-15360,keygen-wall-ci95hi-ns,892985222225.3
rsa-15360,keygen-cyc-median,24594176864.0
rsa-15360,keygen-cyc-mean,25008797347.7
rsa-15360,keygen-persec,0.0
rsa-15360,pss-sign-iters,100
rsa-15360,pss-sign-wall-median-ns,1601535240.0
rsa-15360,pss-sign-wall-mean-ns,1603427503.7
rsa-15360,pss-sign-wall-std-ns,10834051.2
rsa-15360,pss-sign-wall-p95-ns,1601635203.0
rsa-15360,pss-sign-wall-p99-ns,1664773777.0
rsa-15360,pss-sign-wall-ci95lo-ns,1601304029.7
rsa-15360,pss-sign-wall-ci95hi-ns,1605550977.7
rsa-15360,pss-sign-cyc-median,86482879.0
rsa-15360,pss-sign-cyc-mean,86585064.3
rsa-15360,pss-sign-persec,0.6
rsa-15360,pss-verify-iters,100
rsa-15360,pss-verify-wall-median-ns,7025889.0
rsa-15360,pss-verify-wall-mean-ns,7012630.4
rsa-15360,pss-verify-wall-std-ns,31648.3
